Dates,New Cases Per Day,Deaths Per Day,Recovered Per Day,Total Cases,Total Deaths,Total Recovered,Active Cases
01-22-2020,0.0,0.0,0.0,1.0,0.0,0.0,1.0
01-23-2020,1.0,0.0,0.0,1.0,0.0,0.0,1.0
01-24-2020,0.0,0.0,0.0,2.0,0.0,0.0,2.0
01-25-2020,3.0,0.0,0.0,2.0,0.0,0.0,2.0
01-26-2020,0.0,0.0,0.0,5.0,0.0,0.0,5.0
01-27-2020,0.0,0.0,0.0,5.0,0.0,0.0,5.0
01-28-2020,0.0,0.0,0.0,5.0,0.0,0.0,5.0
01-29-2020,0.0,0.0,0.0,5.0,0.0,0.0,5.0
01-30-2020,1.0,0.0,0.0,5.0,0.0,0.0,5.0
01-31-2020,2.0,0.0,0.0,6.0,0.0,0.0,6.0
02-01-2020,0.0,0.0,0.0,8.0,0.0,0.0,8.0
02-02-2020,3.0,0.0,0.0,8.0,0.0,0.0,8.0
02-03-2020,0.0,0.0,0.0,11.0,0.0,0.0,11.0
02-04-2020,1.0,0.0,0.0,11.0,0.0,0.0,11.0
02-05-2020,0.0,0.0,0.0,12.0,0.0,0.0,12.0
02-06-2020,0.0,0.0,0.0,12.0,0.0,0.0,12.0
02-07-2020,0.0,0.0,0.0,12.0,0.0,0.0,12.0
02-08-2020,0.0,0.0,3.0,12.0,0.0,0.0,12.0
02-09-2020,0.0,0.0,0.0,12.0,0.0,3.0,9.0
02-10-2020,1.0,0.0,0.0,12.0,0.0,3.0,9.0
02-11-2020,0.0,0.0,0.0,13.0,0.0,3.0,10.0
02-12-2020,2.0,0.0,0.0,13.0,0.0,3.0,10.0
02-13-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-14-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-15-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-16-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-17-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-18-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-19-2020,0.0,0.0,0.0,15.0,0.0,3.0,12.0
02-20-2020,20.0,0.0,2.0,15.0,0.0,3.0,12.0
02-21-2020,0.0,0.0,0.0,35.0,0.0,5.0,30.0
02-22-2020,0.0,0.0,0.0,35.0,0.0,5.0,30.0
02-23-2020,18.0,0.0,0.0,35.0,0.0,5.0,30.0
02-24-2020,0.0,0.0,1.0,53.0,0.0,5.0,48.0
02-25-2020,6.0,0.0,0.0,53.0,0.0,6.0,47.0
02-26-2020,1.0,0.0,0.0,59.0,0.0,6.0,53.0
02-27-2020,2.0,0.0,1.0,60.0,0.0,6.0,54.0
02-28-2020,8.0,1.0,0.0,62.0,0.0,7.0,55.0
02-29-2020,6.0,0.0,0.0,70.0,1.0,7.0,62.0
03-01-2020,25.0,5.0,0.0,76.0,1.0,7.0,68.0
03-02-2020,21.0,1.0,1.0,101.0,6.0,7.0,88.0
03-03-2020,31.0,4.0,0.0,122.0,7.0,8.0,107.0
03-04-2020,68.0,1.0,0.0,153.0,11.0,8.0,134.0
03-05-2020,57.0,2.0,0.0,221.0,12.0,8.0,201.0
